"DATA/10006857.CI.BAK.BHZ.sac.d.T006_T030
","SYN/BAK.CI.BHZ.semd.sac.m16.T006_T030
",-12.346,68.554
"DATA/10006857.CI.BAK.BHZ.sac.d.T006_T030
","SYN/BAK.CI.BHZ.semd.sac.m16.T006_T030
",2.254,68.554
"DATA/10006857.CI.BAK.BHZ.sac.d.T006_T030
","SYN/BAK.CI.BHZ.semd.sac.m16.T006_T030
",13.704,68.554
"DATA/10006857.CI.BBS.BHT.sac.d.T006_T030
","SYN/BBS.CI.BHT.semd.sac.m16.T006_T030
",43.554,94.054
"DATA/10006857.CI.BBS.BHT.sac.d.T006_T030
","SYN/BBS.CI.BHT.semd.sac.m16.T006_T030
",43.554,105.504
"DATA/10006857.CI.BBS.BHT.sac.d.T006_T030
","SYN/BBS.CI.BHT.semd.sac.m16.T006_T030
",54.354,94.054
"DATA/10006857.CI.BBS.BHT.sac.d.T006_T030
","SYN/BBS.CI.BHT.semd.sac.m16.T006_T030
",54.354,105.504
"DATA/10006857.CI.BEL.BHT.sac.d.T006_T030
","SYN/BEL.CI.BHT.semd.sac.m16.T006_T030
",65.654,117.804
"DATA/10006857.CI.BEL.BHT.sac.d.T006_T030
","SYN/BEL.CI.BHT.semd.sac.m16.T006_T030
",65.654,134.304
"DATA/10006857.CI.BEL.BHT.sac.d.T006_T030
","SYN/BEL.CI.BHT.semd.sac.m16.T006_T030
",65.654,142.854
"DATA/10006857.CI.BEL.BHT.sac.d.T006_T030
","SYN/BEL.CI.BHT.semd.sac.m16.T006_T030
",82.254,117.804
"DATA/10006857.CI.BEL.BHT.sac.d.T006_T030
","SYN/BEL.CI.BHT.semd.sac.m16.T006_T030
",82.254,134.304
"DATA/10006857.CI.BEL.BHT.sac.d.T006_T030
","SYN/BEL.CI.BHT.semd.sac.m16.T006_T030
",82.254,142.854
"DATA/10006857.CI.BEL.BHT.sac.d.T006_T030
","SYN/BEL.CI.BHT.semd.sac.m16.T006_T030
",91.354,117.804
"DATA/10006857.CI.BEL.BHT.sac.d.T006_T030
","SYN/BEL.CI.BHT.semd.sac.m16.T006_T030
",91.354,134.304
"DATA/10006857.CI.BEL.BHT.sac.d.T006_T030
","SYN/BEL.CI.BHT.semd.sac.m16.T006_T030
",91.354,142.854
"DATA/10006857.CI.BEL.BHT.sac.d.T006_T030
","SYN/BEL.CI.BHT.semd.sac.m16.T006_T030
",97.154,117.804
"DATA/10006857.CI.BEL.BHT.sac.d.T006_T030
","SYN/BEL.CI.BHT.semd.sac.m16.T006_T030
",97.154,134.304
